iter	Passed	Remaining
0	130	130156
1	132	66313
2	134	44763
3	136	33926
4	138	27507
5	139	23174
6	141	20105
7	143	17839
8	145	16021
9	146	14533
10	147	13287
11	148	12249
12	149	11387
13	151	10635
14	151	9978
15	152	9401
16	154	8906
17	154	8454
18	156	8083
19	158	7752
20	159	7439
21	160	7139
22	161	6855
23	162	6596
24	163	6358
25	163	6131
26	164	5923
27	165	5729
28	165	5546
29	166	5378
30	167	5228
31	168	5089
32	169	4955
33	170	4837
34	171	4725
35	172	4629
36	173	4528
37	174	4425
38	175	4326
39	176	4229
40	176	4137
41	177	4050
42	178	3967
43	178	3887
44	179	3811
45	180	3738
46	181	3673
47	181	3608
48	182	3542
49	183	3483
50	184	3424
51	185	3375
52	186	3336
53	187	3290
54	188	3241
55	189	3191
56	189	3142
57	190	3096
58	191	3051
59	191	3007
60	192	2964
61	193	2922
62	193	2884
63	194	2845
64	195	2811
65	196	2777
66	197	2743
67	197	2705
68	198	2673
69	198	2641
70	200	2617
71	201	2597
72	203	2577
73	203	2549
74	204	2521
75	205	2494
76	205	2467
77	206	2441
78	207	2416
79	208	2392
80	208	2368
81	209	2346
82	210	2323
83	210	2300
84	211	2275
85	212	2254
86	212	2230
87	213	2210
88	214	2193
89	215	2182
90	217	2171
91	218	2154
92	219	2137
93	219	2119
94	220	2100
95	221	2082
96	221	2064
97	222	2047
98	223	2030
99	223	2014
100	224	1997
101	224	1978
102	225	1962
103	226	1947
104	226	1932
105	227	1916
106	227	1901
107	228	1888
108	229	1879
109	231	1872
110	232	1862
111	233	1849
112	233	1836
113	234	1823
114	235	1810
115	235	1796
116	236	1783
117	237	1771
118	237	1758
119	238	1746
120	238	1734
121	239	1722
122	239	1709
123	240	1697
124	241	1687
125	241	1676
126	242	1665
127	242	1652
128	243	1642
129	244	1635
130	245	1630
131	246	1623
132	247	1614
133	248	1604
134	248	1594
135	249	1585
136	250	1575
137	250	1565
138	251	1557
139	252	1548
140	252	1539
141	253	1530
142	253	1521
143	254	1512
144	255	1504
145	255	1496
146	256	1487
147	256	1479
148	257	1471
149	258	1464
150	259	1459
151	260	1455
152	261	1449
153	262	1441
154	263	1434
155	263	1427
156	264	1419
157	265	1412
158	265	1404
159	266	1397
160	266	1390
161	267	1383
162	268	1376
163	268	1369
164	269	1362
165	269	1356
166	270	1349
167	271	1343
168	271	1336
169	272	1330
170	273	1326
171	274	1323
172	276	1319
173	276	1313
174	277	1307
175	278	1301
176	278	1295
177	279	1290
178	279	1284
179	280	1278
180	280	1270
181	281	1265
182	282	1259
183	282	1253
184	283	1247
185	283	1242
186	284	1237
187	285	1232
188	286	1227
189	286	1222
190	287	1218
191	288	1215
192	290	1212
193	291	1209
194	291	1204
195	292	1199
196	293	1194
197	293	1189
198	294	1184
199	294	1179
200	295	1174
201	296	1169
202	296	1164
203	297	1160
204	297	1155
205	298	1150
206	299	1146
207	300	1142
208	300	1137
209	301	1133
210	301	1128
211	302	1126
212	304	1124
213	305	1121
214	306	1117
